status	gemini	instagram	egress_ip	country	latency_ms	upstream_speed_mbps	rank	tag	host	port
FAIL	NO	NO			2097	815		🌐815Mb | @DeltaKroneckerGithub	188.114.97.6	8080
WORKS	YES	YES	152.233.43.93	PL	771	806	26	🌐806Mb | EPODONIOS	188.130.209.185	443
FAIL	NO	NO			4003	777		🌐777Mb | 🇳🇱🚀 Нидерланды 🔐 🏴BL/SNI  🥭🔥	155.212.164.21	443
WORKS	NO	YES			492	739		🌐739Mb | Server 19	37.143.129.244	443
FAIL	NO	NO			469	676		🇱🇹676Mb | UAB Cherry Servers	188.225.84.42	443
FAIL	NO	NO			4002	672		🇳🇱672Mb | GSL Networks Pty LTD	217.16.27.113	443
FAIL	NO	NO			4002	664		🌐664Mb | 🏳️ ShatakVPN 916769	91.107.184.112	3939
WORKS	YES	YES	31.76.81.149	SE	622	649	24	🇸🇪649Mb | Play2go International Limited	200.169.182.57	443
FAIL	NO	NO			629	648		🇳🇱648Mb | GSL Networks Pty LTD	217.16.27.113	443
FAIL	NO	NO			4003	636		🌐636Mb | 2515  🇩🇪 Germany  VLESS  📺 YT	91.107.184.112	3939
WORKS	YES	YES	94.26.0.129	DE	712	572	9	🇩🇪572Mb | RMP Protection Limited	bv.cloudvk.cc	443
FAIL	NO	NO			4006	572		🌐572Mb | filembad-193	t5rnllobbe35.dx4x.com	3939
WORKS	NO	YES			617	551		🌐551Mb | FI 🇫🇮  @Raydikalx  77A309	31.76.89.110	8443
WORKS	NO	YES			628	539		🇫🇮539Mb | U1 Digital Services	31.76.89.110	8443
WORKS	YES	YES	94.26.0.129	DE	713	522		🇩🇪522Mb | RMP Protection Limited	185.22.235.203	443
WORKS	NO	YES			494	519		🌐519Mb | filembad-231	194.34.175.19	443
FAIL	NO	NO			4002	516		🌐516Mb | 🇫🇮 Finland  *CIDR	176.57.213.175	443
WORKS	YES	YES	94.26.0.129	DE	685	515		🇩🇪515Mb | RMP Protection Limited	185.22.235.203	443
WORKS	YES	YES	94.26.0.129	DE	679	497		🇩🇪497Mb | RMP Protection Limited	185.22.235.203	443
WORKS	YES	YES	94.26.0.129	DE	690	490	8	🇩🇪490Mb | RMP Protection Limited	185.22.235.203	443
WORKS	YES	YES	94.26.0.129	DE	684	476		🇩🇪476Mb | RMP Protection Limited	185.22.235.203	443
WORKS	YES	YES	94.26.0.129	DE	690	464		🇩🇪464Mb | RMP Protection Limited	185.22.235.203	443
WORKS	YES	YES	31.76.81.149	SE	674	463		🇸🇪463Mb | Play2go International Limited	200.169.182.57	443
WORKS	YES	YES	31.76.31.98	FI	548	462	22	🇺🇸462Mb | PowerRDP Network LTD	31.76.31.98	3443
WORKS	YES	YES	31.76.240.172	FI	451	459	19	🌐459Mb | GB   VLESS-TCP-RLT  31.76.240.	eu-north-fi-1.hanvpn.biz	443
WORKS	NO	YES			621	457		🌐457Mb | 🏳️ ShatakVPN 833114	31.76.89.110	8443
FAIL	NO	NO			4002	455		🇳🇱455Mb | Timeweb LLP	155.212.164.21	443
WORKS	YES	YES	144.172.95.99	US	1268	447	3	🇺🇸447Mb | RouterHosting	104.194.149.76	443
WORKS	YES	YES	94.26.0.129	DE	758	445		🇩🇪445Mb | RMP Protection Limited	bv.cloudvk.cc	443
WORKS	YES	YES	94.26.0.129	DE	754	443		🇩🇪443Mb | RMP Protection Limited	bv.cloudvk.cc	443
FAIL	NO	NO			2090	434		🇩🇪434Mb | Advin Services	188.114.97.6	8080
WORKS	YES	YES	94.26.0.129	DE	696	424		🇩🇪424Mb | RMP Protection Limited	185.22.235.203	443
WORKS	YES	YES	45.145.42.41	DE	464	420	7	🇩🇪420Mb | dataforest GmbH	avczx.cloudvk.cc	443
WORKS	YES	YES	94.26.0.129	DE	868	419		🇩🇪419Mb | RMP Protection Limited	185.22.235.203	443
FAIL	NO	NO			562	415		🇨🇭415Mb | Private Layer INC	46.243.142.42	8443
FAIL	NO	NO			587	408		🇨🇭408Mb | Private Layer INC	46.243.142.89	9443
WORKS	YES	YES	94.26.0.129	DE	724	405		🇩🇪405Mb | RMP Protection Limited	185.22.235.203	443
WORKS	NO	YES			599	402		🇫🇮402Mb | U1 Digital Services	31.76.89.110	8443
